datetime,wind_speed,value
201008076 ,6.7 ,91
201008077 ,6.7 ,86
201008078 ,6.6 ,86
201008079 ,6.4 ,78
2010080710,6.2 ,75
2010080711,5.9 ,75
2010080712,5.8 ,75
2010080713,5.7 ,82
2010080714,5.5 ,88
2010080715,5.3 ,94
2010080716,5   ,94
2010080717,4.8 ,101
2010080718,4.5 ,101
2010080719,4.3 ,98
2010080720,4.2 ,98
2010080721,4.2 ,88
2010080722,4.2 ,83
2010080723,4.1 ,78
201008080 ,4   ,78
201008081 ,3.8 ,77
201008082 ,3.7 ,79
201008083 ,3.4 ,83
201008084 ,3.2 ,83
201008085 ,3.1 ,87
201008086 ,3   ,86
201008087 ,2.9 ,82
201008088 ,2.6 ,82
201008089 ,2.4 ,71
2010080810,2.1 ,65
2010080811,1.9 ,61
2010080812,1.7 ,61
2010080813,1.4 ,63
2010080814,1.1 ,69
2010080815,0.7 ,76
2010080816,0.7 ,76
2010080817,1.3 ,89
2010080818,1.9 ,94
2010080819,2.6 ,94
2010080820,3.2 ,94
2010080821,3.9 ,85
2010080822,4.4 ,78
2010080823,5   ,71
201008090 ,5.6 ,71
201008091 ,6.1 ,65
201008092 ,6.6 ,67
201008093 ,6.9 ,71
201008094 ,6.9 ,71
201008095 ,7.2 ,83
201008096 ,7.3 ,87
201008097 ,7   ,89
201008098 ,6.6 ,89
201008099 ,6.1 ,82
2010080910,5.8 ,76
2010080911,5.4 ,69
2010080912,5   ,69
2010080913,4.7 ,66
2010080914,4.4 ,69
2010080915,4.2 ,77
2010080916,4.2 ,77
2010080917,4.3 ,94
2010080918,4.5 ,103
2010080919,4.7 ,108
2010080920,4.9 ,108
2010080921,5.2 ,104
2010080922,5.3 ,96
2010080923,5.6 ,86
201008100 ,5.9 ,86
201008101 ,6   ,73
201008102 ,6.1 ,71
201008103 ,6   ,74
201008104 ,5.7 ,74
201008105 ,5.6 ,86
201008106 ,5.4 ,93
201008107 ,5.2 ,97
201008108 ,5   ,97
201008109 ,4.7 ,94
2010081010,4.6 ,86
2010081011,4.4 ,77
2010081012,4.2 ,77
2010081013,4   ,63
2010081014,3.8 ,62
2010081015,3.5 ,67
2010081016,3.2 ,67
2010081017,3   ,84
2010081018,2.6 ,94
2010081019,2.4 ,103
2010081020,2.2 ,103
2010081021,2   ,104
2010081022,1.8 ,97
2010081023,1.6 ,85
201008110 ,1.3 ,85
201008111 ,0.9 ,66
201008112 ,0.5 ,60
201008113 ,0.3 ,61
201008114 ,0.5 ,61
201008115 ,0.7 ,73
201008116 ,1   ,83
201008117 ,1.3 ,92
201008118 ,1.4 ,92
201008119 ,1.6 ,98
2010081110,1.7 ,93
2010081111,1.7 ,84
2010081112,1.9 ,84
2010081113,2   ,67
2010081114,2.1 ,62
2010081115,2   ,64
2010081116,1.9 ,64
2010081117,1.9 ,80
2010081118,1.7 ,93
2010081119,1.6 ,105
2010081120,1.4 ,105
2010081121,1.1 ,113
2010081122,0.8 ,109
2010081123,0.3 ,98
201008120 ,0.2 ,98
201008121 ,0.7 ,73
201008122 ,1.2 ,62
201008123 ,1.7 ,58
201008124 ,2.2 ,58
201008125 ,2.8 ,66
201008126 ,3.2 ,76
201008127 ,3.4 ,86
201008128 ,3.4 ,86
201008129 ,3.4 ,98
2010081210,3.3 ,97
2010081211,3.3 ,89
2010081212,3.1 ,89
2010081213,2.9 ,71
2010081214,2.6 ,63
2010081215,2.5 ,61
2010081216,2.6 ,61
2010081217,2.8 ,74
2010081218,3.2 ,88
2010081219,3.2 ,102
2010081220,3.3 ,102
2010081221,3.6 ,120
2010081222,3.8 ,121
2010081223,3.9 ,114
201008130 ,4.1 ,114
201008131 ,5.4 ,90
201008132 ,5.3 ,76
201008133 ,5.6 ,68
201008134 ,6   ,68
201008135 ,7.2 ,71
201008136 ,7.6 ,80
201008137 ,7.7 ,92
201008138 ,7.7 ,92
201008139 ,7.9 ,108
2010081310,7.9 ,111
2010081311,7.9 ,106
2010081312,7.9 ,106
2010081313,7.8 ,86
2010081314,7.6 ,73
2010081315,7.2 ,65
2010081316,6.8 ,65
2010081317,6.3 ,67
2010081318,6   ,77
2010081319,5.5 ,89
2010081320,4.7 ,89
2010081321,3.8 ,109
2010081322,3   ,112
2010081323,2.1 ,108
201008140 ,1.4 ,108
201008141 ,1.4 ,85
201008142 ,1.9 ,68
201008143 ,2.5 ,55
201008144 ,2.9 ,55
201008145 ,3.4 ,49
201008146 ,3.7 ,55
201008147 ,3.9 ,66
201008148 ,4   ,66
201008149 ,4   ,86
2010081410,4   ,94
2010081411,4   ,95
2010081412,3.9 ,95
2010081413,3.8 ,81
2010081414,3.7 ,69
2010081415,3.6 ,59
2010081416,3.6 ,59
2010081417,3.4 ,56
2010081418,3.4 ,64
2010081419,3.4 ,76
2010081420,3.3 ,76
2010081421,3.3 ,100
2010081422,3.2 ,109
2010081423,3.1 ,111
201008150 ,3   ,111
201008151 ,3.1 ,97
201008152 ,3.2 ,82
201008153 ,3.1 ,67
201008154 ,3.1 ,67
201008155 ,3.4 ,54
201008156 ,3.8 ,56
201008157 ,3.9 ,64
201008158 ,4.1 ,64
201008159 ,4.8 ,83
2010081510,5.5 ,92
2010081511,6.3 ,97
2010081512,7.9 ,97
2010081513,8.8 ,89
2010081514,9.3 ,78
2010081515,11.4,66
2010081516,12.2,66
2010081517,12.9,56
2010081518,13.4,59
2010081519,13.3,67
2010081520,13.4,67
2010081521,13.3,89
2010081522,13.1,100
2010081523,12.9,107
201008160 ,12.5,107
201008161 ,11.4,104
201008162 ,10  ,94
201008163 ,8.6 ,83
201008164 ,7.9 ,83
201008165 ,7.4 ,70
201008166 ,8.1 ,71
201008167 ,7.8 ,79
201008168 ,7.7 ,79
201008169 ,7.7 ,102
2010081610,7.6 ,115
2010081611,7.9 ,125
2010081612,8.6 ,125
2010081613,8.8 ,129
2010081614,8.6 ,122
2010081615,8.5 ,113
2010081616,8.2 ,113
2010081617,8   ,99
2010081618,7.7 ,97
2010081619,7.4 ,101
2010081620,7.1 ,101
2010081621,6.7 ,116
2010081622,6.4 ,126
2010081623,6.3 ,134
201008170 ,6.3 ,134
201008171 ,6.2 ,136
201008172 ,6.3 ,129
201008173 ,6.2 ,119
201008174 ,6.2 ,119
201008175 ,6.2 ,102
201008176 ,6.1 ,97
201008177 ,6   ,98
201008178 ,5.9 ,98
201008179 ,5.8 ,112
2010081710,5.7 ,122
2010081711,5.6 ,131
2010081712,5.8 ,131
2010081713,5.9 ,138
2010081714,6.2 ,134
2010081715,6.4 ,127
2010081716,6.3 ,127
2010081717,6.1 ,112
2010081718,6   ,108
2010081719,6   ,108
2010081720,5.5 ,108
2010081721,5.1 ,118
2010081722,4.9 ,126
2010081723,4.5 ,133
201008180 ,4.3 ,133
201008181 ,4   ,137
201008182 ,3.8 ,133
201008183 ,3.9 ,124
201008184 ,3.9 ,124
201008185 ,3.8 ,106
201008186 ,3.5 ,98
201008187 ,3.4 ,94
201008188 ,3.2 ,94
201008189 ,3   ,99
2010081810,2.8 ,105
2010081811,2.8 ,111
2010081812,2.8 ,111
2010081813,2.7 ,119
2010081814,2.7 ,118
2010081815,2.7 ,114
2010081816,2.5 ,114
2010081817,2.3 ,101
2010081818,2.2 ,94
2010081819,2.1 ,90
2010081820,2.3 ,90
2010081821,2.5 ,92
2010081822,2.7 ,97
2010081823,3   ,102
201008190 ,3.3 ,102
201008191 ,3.7 ,109
201008192 ,4   ,109
201008193 ,4.4 ,105
201008194 ,4.8 ,105
201008195 ,5.1 ,92
201008196 ,5.3 ,85
201008197 ,5.5 ,80
201008198 ,5.4 ,80
201008199 ,5.2 ,80
2010081910,5   ,85
2010081911,4.8 ,92
2010081912,4.8 ,92
2010081913,4.6 ,104
2010081914,4.4 ,109
2010081915,4.3 ,110
2010081916,4.1 ,110
2010081917,3.7 ,105
2010081918,3.5 ,100
2010081919,3.5 ,96
2010081920,3.3 ,96
2010081921,3.2 ,93
2010081922,3.1 ,95
2010081923,3.3 ,98
201008200 ,3.8 ,98
201008201 ,4.3 ,106
201008202 ,4.5 ,110
201008203 ,4.3 ,111
201008204 ,4   ,111
201008205 ,3.9 ,106
201008206 ,3.7 ,100
201008207 ,3.2 ,95
201008208 ,3.2 ,95
201008209 ,3   ,90
2010082010,2.8 ,91
2010082011,2.7 ,94
2010082012,2.5 ,94
2010082013,2.3 ,104
2010082014,2.1 ,110
2010082015,2   ,114
2010082016,1.5 ,114
2010082017,1.1 ,116
2010082018,0.8 ,113
2010082019,0.4 ,108
2010082020,0.3 ,108
2010082021,0.7 ,99
2010082022,1.4 ,96
2010082023,1.7 ,95
201008210 ,1.7 ,95
201008211 ,1.5 ,99
201008212 ,1.5 ,103
201008213 ,1.6 ,106
201008214 ,1.9 ,106
201008215 ,2.1 ,108
201008216 ,2.4 ,106
201008217 ,2.7 ,101
201008218 ,2.7 ,101
201008219 ,2.9 ,93
2010082110,3.1 ,91
2010082111,3.2 ,90
2010082112,3.3 ,90
2010082113,3.2 ,96
2010082114,3.1 ,102
2010082115,2.9 ,108
2010082116,2.8 ,108
2010082117,2.8 ,115
2010082118,2.8 ,115
2010082119,2.8 ,112
2010082120,2.7 ,112
2010082121,2.8 ,101
2010082122,2.7 ,95
2010082123,2.5 ,90
201008220 ,2.4 ,90
201008221 ,2.2 ,88
201008222 ,2.1 ,90
201008223 ,2   ,94
201008224 ,2.1 ,94
201008225 ,2.3 ,101
201008226 ,2.5 ,102
201008227 ,2.8 ,100
201008228 ,3   ,100
201008229 ,3.1 ,92
2010082210,3.2 ,87
2010082211,3.2 ,83
2010082212,3.3 ,83
2010082213,3.2 ,84
2010082214,3.1 ,89
2010082215,3   ,96
2010082216,2.9 ,96
2010082217,2.8 ,109
2010082218,2.7 ,113
2010082219,2.7 ,114
2010082220,2.7 ,114
2010082221,2.8 ,105
2010082222,3   ,97
2010082223,3.1 ,89
201008230 ,3.2 ,89
201008231 ,3.3 ,81
201008232 ,3.4 ,82
201008233 ,3.4 ,86
201008234 ,3.6 ,86
201008235 ,3.7 ,97
201008236 ,3.7 ,102
201008237 ,3.4 ,104
201008238 ,3.2 ,104
201008239 ,2.9 ,100
2010082310,2.8 ,94
2010082311,2.8 ,88
2010082312,2.6 ,88
2010082313,2.5 ,83
2010082314,2.4 ,86
2010082315,2.2 ,92
2010082316,2   ,92
2010082317,1.9 ,108
2010082318,2   ,116
2010082319,2   ,120
2010082320,2.1 ,120
2010082321,2.2 ,117
2010082322,2.4 ,109
2010082323,2.6 ,100
201008240 ,3   ,100
201008241 ,3.4 ,86
201008242 ,3.8 ,83
201008243 ,4   ,85
201008244 ,4.2 ,85
201008245 ,4.5 ,96
201008246 ,4.5 ,104
201008247 ,4.4 ,109
201008248 ,4.4 ,109
201008249 ,4.3 ,108
2010082410,4.3 ,103
2010082411,4.2 ,95
2010082412,4.2 ,95
2010082413,4.3 ,85
2010082414,4.3 ,84
2010082415,4.4 ,88
2010082416,4.7 ,88
2010082417,4.8 ,104
2010082418,5   ,114
2010082419,5.2 ,122
2010082420,5.2 ,122
2010082421,5.2 ,124
2010082422,5.3 ,117
2010082423,5.3 ,107
201008250 ,5.5 ,107
201008251 ,5.7 ,88
201008252 ,5.8 ,82
201008253 ,5.9 ,81
201008254 ,5.8 ,81
201008255 ,5.4 ,91
201008256 ,5.3 ,100
201008257 ,5.2 ,108
201008258 ,4.9 ,108
201008259 ,4.7 ,113
2010082510,4.7 ,109
2010082511,4.6 ,101
2010082512,4.4 ,101
2010082513,4.4 ,87
2010082514,4.4 ,83
2010082515,4.6 ,85
2010082516,5   ,85
2010082517,5.4 ,98
2010082518,5.4 ,109
2010082519,5.5 ,119
2010082520,5.3 ,119
2010082521,5   ,126
2010082522,4.8 ,122
2010082523,4.9 ,113
201008260 ,4.9 ,113
201008261 ,4.9 ,92
201008262 ,4.9 ,83
201008263 ,4.9 ,79
201008264 ,5.3 ,79
201008265 ,5.4 ,86
201008266 ,5   ,94
201008267 ,4.7 ,103
201008268 ,4.5 ,103
201008269 ,4.5 ,111
2010082610,4.3 ,109
2010082611,4.2 ,102
2010082612,4.1 ,102
2010082613,4   ,86
2010082614,4.1 ,79
2010082615,4.4 ,77
2010082616,5   ,77
2010082617,5.4 ,88
2010082618,5.6 ,98
2010082619,5.7 ,109
2010082620,5.4 ,109
2010082621,5.2 ,120
2010082622,5   ,119
2010082623,4.9 ,111
201008270 ,4.9 ,111
201008271 ,4.9 ,89
201008272 ,4.5 ,78
201008273 ,4.2 ,72
201008274 ,3.9 ,72
201008275 ,3.5 ,75
201008276 ,3.3 ,83
201008277 ,2.5 ,93
201008278 ,1.8 ,93
201008279 ,1.1 ,105
2010082710,0.7 ,106
2010082711,1   ,101
2010082712,1.7 ,101
2010082713,2.3 ,85
2010082714,3.1 ,77
2010082715,3.7 ,73
2010082716,4.2 ,73
2010082717,4.8 ,80
2010082718,5.2 ,90
2010082719,5.8 ,102
2010082720,6.3 ,102
2010082721,6.8 ,118
2010082722,7.1 ,121
2010082723,7.3 ,117
201008280 ,7.5 ,117
201008281 ,7.5 ,99
201008282 ,7.2 ,88
201008283 ,6.9 ,82
201008284 ,6.4 ,82
201008285 ,6   ,84
201008286 ,5.5 ,92
201008287 ,5.1 ,102
201008288 ,4.4 ,102
201008289 ,3.8 ,119
2010082810,2.9 ,123
2010082811,2.2 ,120
2010082812,1.3 ,120
2010082813,0.9 ,105
2010082814,1.5 ,95
2010082815,1.9 ,88
2010082816,2.4 ,88
2010082817,2.9 ,89
2010082818,3.1 ,97
2010082819,3.1 ,107
2010082820,3.3 ,107
2010082821,3.3 ,122
2010082822,3   ,125
2010082823,2.8 ,122
201008290 ,2.5 ,122
201008291 ,2.2 ,105
201008292 ,1.9 ,92
201008293 ,1.6 ,83
201008294 ,1.4 ,83
201008295 ,1.5 ,79
201008296 ,1.7 ,85
201008297 ,2.2 ,94
201008298 ,2.8 ,94
201008299 ,3.5 ,111
2010082910,4.3 ,117
2010082911,4.9 ,117
2010082912,5.5 ,117
2010082913,6.1 ,106
2010082914,6.8 ,96
2010082915,7.3 ,88
2010082916,7.4 ,88
2010082917,7.5 ,86
2010082918,7.7 ,91
2010082919,7.8 ,100
2010082920,8   ,100
2010082921,8.1 ,117
2010082922,8.2 ,122
2010082923,8.2 ,122
201008300 ,8.2 ,122
201008301 ,8.4 ,109
201008302 ,8.6 ,97
201008303 ,8.7 ,86
201008304 ,8.9 ,86
201008305 ,9   ,78
201008306 ,9.1 ,81
201008307 ,9.1 ,88
201008308 ,9   ,88
201008309 ,8.8 ,105
2010083010,8.6 ,112
2010083011,8.5 ,114
2010083012,8.3 ,114
2010083013,8.2 ,106
2010083014,8.1 ,96
2010083015,8.1 ,87
2010083016,8.1 ,87
2010083017,7.9 ,80
2010083018,7.9 ,82
2010083019,7.9 ,89
2010083020,8   ,89
2010083021,7.9 ,104
2010083022,7.7 ,111
2010083023,7.5 ,113
201008310 ,7.5 ,113
201008311 ,7.4 ,104
201008312 ,7.2 ,93
201008313 ,7   ,82
201008314 ,6.9 ,82
201008315 ,6.7 ,71
201008316 ,6.5 ,72
201008317 ,6.5 ,77
201008318 ,6.5 ,77
201008319 ,6.6 ,93
2010083110,6.6 ,101
2010083111,6.6 ,107
2010083112,6.9 ,107
2010083113,7.2 ,105
2010083114,7.3 ,98
2010083115,7.4 ,90
2010083116,7.6 ,90
2010083117,7.9 ,80
2010083118,8.1 ,80
2010083119,8.4 ,85
2010083120,8.6 ,85
2010083121,8.9 ,98
2010083122,9.1 ,106
2010083123,9.4 ,110
201009010 ,9.6 ,110
201009011 ,9.8 ,106
201009012 ,10.1,98
201009013 ,10.3,88
201009014 ,10.6,88
201009015 ,11  ,76
201009016 ,11.2,74
201009017 ,11.5,78
201009018 ,11.7,78
201009019 ,11.9,92
2010090110,12  ,101
2010090111,12.1,108
2010090112,12.2,108
2010090113,12.3,110
2010090114,12.3,106
2010090115,12.3,99
2010090116,12.3,99
2010090117,12.4,87
2010090118,12.4,85
2010090119,12.5,87
2010090120,12.5,87
2010090121,12.5,96
2010090122,12.6,103
2010090123,12.6,109
201009020 ,12.7,109
201009021 ,12.8,109
201009022 ,13  ,104
201009023 ,13.2,96
201009024 ,13.4,96
201009025 ,13.6,83
201009026 ,13.8,79
201009027 ,13.8,80
201009028 ,13.8,80
201009029 ,13.6,89
2010090210,13.4,97
2010090211,13.3,104
2010090212,13.1,104
2010090213,12.7,111
2010090214,12.4,109
2010090215,12  ,105
2010090216,11.6,105
2010090217,11.1,93
2010090218,10.6,89
2010090219,10.2,87
2010090220,9.8 ,87
2010090221,9.1 ,90
2010090222,8.3 ,95
2010090223,7.8 ,100
201009030 ,7.1 ,100
201009031 ,6.5 ,103
201009032 ,6.2 ,101
201009033 ,5.7 ,96
201009034 ,5.2 ,96
201009035 ,4.8 ,84
201009036 ,4.4 ,78
201009037 ,4.2 ,75
201009038 ,4.2 ,75
201009039 ,4.2 ,79
2010090310,4.5 ,84
2010090311,4.6 ,91
2010090312,4.8 ,91
2010090313,5   ,100
2010090314,5   ,102
2010090315,5.1 ,101
2010090316,5.1 ,101
2010090317,5.1 ,93
2010090318,5   ,88
2010090319,5   ,84
2010090320,4.7 ,84
2010090321,4.3 ,82
2010090322,4   ,84
2010090323,3.6 ,88
201009040 ,3.6 ,88
201009041 ,3.6 ,93
201009042 ,3.9 ,94
201009043 ,3.9 ,92
201009044 ,3.6 ,92
201009045 ,3.6 ,83
201009046 ,3.7 ,77
201009047 ,3.9 ,72
201009048 ,3.8 ,72
201009049 ,3.4 ,69
2010090410,3   ,71
2010090411,2.5 ,76
2010090412,1.9 ,76
2010090413,1.9 ,85
2010090414,2.2 ,90
2010090415,2.5 ,93
2010090416,2.9 ,93
2010090417,3.2 ,92
2010090418,3.6 ,89
2010090419,4   ,85
2010090420,4.3 ,85
2010090421,4.6 ,81
2010090422,4.9 ,81
2010090423,5.3 ,84
201009050 ,5.8 ,84
201009051 ,6   ,92
201009052 ,6.2 ,97
201009053 ,6.5 ,101
201009054 ,6.7 ,101
201009055 ,7   ,103
201009056 ,7.2 ,101
201009057 ,7.8 ,99
201009058 ,8   ,99
201009059 ,8.2 ,95
2010090510,8.6 ,95
2010090511,9.1 ,97
2010090512,9.8 ,97
2010090513,10.3,107
2010090514,10.4,113
2010090515,10.8,120
2010090516,11  ,120
2010090517,11.1,125
2010090518,11.5,124
2010090519,11.8,120
2010090520,11.9,120
2010090521,12  ,109
2010090522,12  ,104
2010090523,12  ,101
201009060 ,12  ,101
201009061 ,11.7,102
201009062 ,11.3,106
201009063 ,10.8,110
201009064 ,10.3,110
201009065 ,9.8 ,115
201009066 ,9.4 ,115
201009067 ,9.1 ,112
201009068 ,9   ,112
201009069 ,9   ,104
2010090610,9.1 ,99
2010090611,9.2 ,97
2010090612,9.3 ,97
2010090613,9.5 ,100
2010090614,9.6 ,106
2010090615,9.8 ,113
2010090616,9.9 ,113
2010090617,9.9 ,123
2010090618,10  ,124
2010090619,9.9 ,122
2010090620,9.9 ,122
2010090621,9.8 ,111
2010090622,9.6 ,103
2010090623,9.4 ,96
201009070 ,9.3 ,96
201009071 ,9.1 ,92
201009072 ,8.8 ,94
201009073 ,8.5 ,100
201009074 ,8.2 ,100
201009075 ,7.9 ,111
201009076 ,7.8 ,115
201009077 ,7.6 ,114
201009078 ,7.2 ,114
201009079 ,6.7 ,105
2010090710,6.4 ,97
2010090711,6   ,90
2010090712,5.6 ,90
2010090713,5.2 ,87
2010090714,4.9 ,91
2010090715,5   ,99
2010090716,5.1 ,99
2010090717,5.5 ,115
2010090718,6.1 ,121
2010090719,6.7 ,123
2010090720,7.2 ,123
2010090721,7.2 ,115
2010090722,7.2 ,105
2010090723,7.4 ,94
201009080 ,7.6 ,94
201009081 ,7.7 ,84
201009082 ,7.6 ,85
201009083 ,7.2 ,90
201009084 ,6.8 ,90
201009085 ,6.4 ,107
201009086 ,5.8 ,115
201009087 ,5.5 ,121
201009088 ,5.1 ,121
201009089 ,4.8 ,117
2010090810,4.2 ,110
2010090811,3.8 ,100
2010090812,3.4 ,100
2010090813,3   ,89
2010090814,3   ,90
2010090815,3.3 ,95
2010090816,3.7 ,95
2010090817,3.7 ,113
2010090818,3.9 ,122
2010090819,3.7 ,128
2010090820,3.1 ,128
2010090821,2.8 ,125
2010090822,2.8 ,114
2010090823,2.9 ,101
201009090 ,3   ,101
201009091 ,3.3 ,82
201009092 ,3.7 ,78
201009093 ,4.2 ,80
201009094 ,4.4 ,80
201009095 ,4.9 ,95
201009096 ,5.6 ,105
201009097 ,6.1 ,113
201009098 ,6.4 ,113
201009099 ,6.7 ,116
2010090910,7.1 ,109
2010090911,7.5 ,99
2010090912,7.6 ,99
2010090913,7.8 ,82
2010090914,8   ,79
2010090915,8.1 ,82
2010090916,8.4 ,82
2010090917,8.5 ,100
2010090918,8.8 ,113
2010090919,9.1 ,124
2010090920,9.3 ,124
2010090921,9.7 ,129
2010090922,10  ,122
2010090923,10.3,109
201009100 ,10.6,109
201009101 ,10.9,84
201009102 ,10.9,76
201009103 ,10.9,74
201009104 ,11  ,74
201009105 ,10.9,87
201009106 ,10.9,98
201009107 ,11  ,109
201009108 ,11  ,109
201009109 ,11  ,118
2010091010,11.2,115
2010091011,11.2,105
2010091012,11  ,105
2010091013,11.1,84
2010091014,11.2,76
2010091015,11.2,75
2010091016,11.3,75
2010091017,11.3,88
2010091018,11.3,101
2010091019,11.3,113
2010091020,11.5,113
2010091021,11.7,124
2010091022,11.9,121
2010091023,12.2,110
201009110 ,12.4,110
201009111 ,12.6,84
201009112 ,12.9,72
201009113 ,13.3,66
201009114 ,13.6,66
201009115 ,13.9,74
201009116 ,14.2,85
201009117 ,14.4,98
201009118 ,14.6,98
201009119 ,14.7,113
2010091110,14.8,114
2010091111,15  ,108
2010091112,15.1,108
2010091113,15.2,86
2010091114,15.2,75
2010091115,15.3,69
2010091116,15.3,69
2010091117,15.2,77
2010091118,15.2,88
2010091119,15.1,102
2010091120,15.1,102
2010091121,15.2,120
2010091122,15.2,121
2010091123,15.3,115
201009120 ,15.3,115
201009121 ,15.2,90
201009122 ,15.2,75
201009123 ,15.1,65
201009124 ,15.1,65
201009125 ,14.9,66
201009126 ,14.9,76
201009127 ,14.8,89
201009128 ,14.7,89
201009129 ,14.7,111
2010091210,14.6,116
2010091211,14.6,114
2010091212,14.5,114
2010091213,14.6,96
2010091214,14.6,83
2010091215,14.5,74
2010091216,14.4,74
2010091217,14.3,74
2010091218,14.1,82
2010091219,14  ,94
2010091220,13.8,94
2010091221,13.6,115
2010091222,13.5,121
2010091223,13.2,120
201009130 ,13  ,120
201009131 ,12.9,101
201009132 ,12.6,85
201009133 ,12.3,72
201009134 ,12  ,72
201009135 ,11.8,65
201009136 ,11.5,70
201009137 ,11  ,80
201009138 ,10.8,80
201009139 ,10.5,101
2010091310,10.2,109
2010091311,10  ,111
2010091312,9.9 ,111
2010091313,9.7 ,99
2010091314,9.5 ,86
2010091315,9.3 ,75
2010091316,9.2 ,75
2010091317,9   ,66
2010091318,8.6 ,71
2010091319,8.4 ,80
2010091320,8   ,80
2010091321,7.7 ,99
2010091322,7.3 ,107
2010091323,7.3 ,110
201009140 ,7   ,110
201009141 ,6.7 ,99
201009142 ,6.3 ,86
201009143 ,6.1 ,72
201009144 ,6   ,72
201009145 ,5.7 ,60
201009146 ,5.5 ,61
201009147 ,5.1 ,68
201009148 ,4.9 ,68
201009149 ,4.5 ,87
2010091410,4.3 ,97
2010091411,4.1 ,103
2010091412,3.8 ,103
2010091413,3.7 ,99
2010091414,3.7 ,90
2010091415,3.7 ,79
2010091416,3.7 ,79
2010091417,3.7 ,65
2010091418,3.7 ,65
2010091419,3.9 ,70
2010091420,4   ,70
2010091421,4.2 ,87
2010091422,4.5 ,96
2010091423,4.7 ,102
201009150 ,5   ,102
201009151 ,5.3 ,101
201009152 ,5.5 ,93
201009153 ,5.9 ,82
201009154 ,6.7 ,82
201009155 ,6.5 ,68
201009156 ,6.8 ,66
201009157 ,7   ,71
201009158 ,7.1 ,71
201009159 ,7.1 ,87
2010091510,7.1 ,97
2010091511,7.1 ,106
2010091512,7   ,106
2010091513,7   ,110
2010091514,7.1 ,105
2010091515,7   ,97
2010091516,7.1 ,97
2010091517,7.1 ,83
2010091518,7.1 ,79
2010091519,7.2 ,80
2010091520,7.5 ,80
2010091521,7.3 ,90
2010091522,7.5 ,98
2010091523,7.6 ,104
201009160 ,7.9 ,104
201009161 ,8.2 ,106
201009162 ,8.4 ,101
201009163 ,8.6 ,93
201009164 ,8.8 ,93
201009165 ,9   ,78
201009166 ,9.2 ,73
201009167 ,9.1 ,73
201009168 ,9.6 ,73
201009169 ,9.6 ,82
2010091610,9.7 ,91
2010091611,9.7 ,98
2010091612,9.8 ,98
2010091613,9.7 ,105
2010091614,9.6 ,103
2010091615,9.5 ,97
2010091616,9.3 ,97
2010091617,9   ,83
2010091618,8.8 ,76
2010091619,8.8 ,73
2010091620,8.7 ,73
2010091621,8.5 ,75
2010091622,8.3 ,80
2010091623,8.2 ,85
201009170 ,8.2 ,85
201009171 ,8   ,90
201009172 ,7.9 ,89
201009173 ,7.7 ,85
201009174 ,7.5 ,85
201009175 ,7.3 ,73
201009176 ,7.2 ,67
201009177 ,7.1 ,65
201009178 ,6.9 ,65
201009179 ,6.8 ,68
2010091710,6.7 ,74
2010091711,6.6 ,80
2010091712,6.5 ,80
2010091713,6.3 ,90
2010091714,6.2 ,93
2010091715,6.2 ,92
2010091716,6.2 ,92
2010091717,6.2 ,82
2010091718,6.2 ,76
2010091719,6.2 ,70
2010091720,6.3 ,70
2010091721,6.4 ,65
2010091722,6.4 ,66
2010091723,6.5 ,68
201009180 ,6.6 ,68
201009181 ,6.6 ,74
