74.44_24.72,77.64_26.72,76.84_26.72,76.04_26.72,75.24_26.72,77.64_28.72,76.84_28.72,76.04_28.72,76.84_30.72,76.84_32.72,dates
-0.8731575608253479,-0.8726392984390259,-0.8794806599617004,-0.9018659591674804,-0.8936450481414795,-0.8869449496269226,-0.9082123637199402,-0.9088920354843141,-0.8655326962471008,-0.8571264743804932,2002-01-01
-0.8731575608253479,-0.8726392984390259,-0.8794806599617004,-0.9018659591674804,-0.8936450481414795,-0.8869449496269226,-0.9082123637199402,-0.9088920354843141,-0.8655326962471008,-0.8571264743804932,2002-01-02
-0.8857424259185791,-0.891229510307312,-0.9091999530792236,-0.9192060828208924,-0.910055696964264,-0.8946163058280945,-0.9212217330932616,-0.924535036087036,-0.8768075108528137,-0.8817238807678223,2002-01-03
-0.8839597105979919,-0.8895406126976013,-0.9078320860862732,-0.9333034753799438,-0.9217247962951659,-0.8895254731178284,-0.9284058809280396,-0.9331213235855104,-0.8965317606925964,-0.8937684893608093,2002-01-04
-0.8645420670509338,-0.8777251839637756,-0.8896488547325134,-0.8953134417533875,-0.897191047668457,-0.8778250217437744,-0.9064094424247742,-0.9040746092796326,-0.8823980689048767,-0.8698400855064392,2002-01-05
-0.8704081177711487,-0.8674801588058472,-0.8715600967407227,-0.9000949263572693,-0.9000568389892578,-0.871890664100647,-0.9016090035438538,-0.9027429819107056,-0.8822230100631714,-0.8708707690238953,2002-01-06
-0.8536920547485352,-0.8666042685508728,-0.8713088631629944,-0.8727347850799559,-0.8762803077697754,-0.8665717840194702,-0.8879114985466003,-0.876171350479126,-0.8533231616020203,-0.8442721962928772,2002-01-07
-0.8282278776168823,-0.8577946424484253,-0.8737884163856506,-0.8644852638244629,-0.8506975173950195,-0.8537003993988037,-0.8724429607391357,-0.8641386032104492,-0.8143489360809326,-0.8112645745277405,2002-01-08
-0.8168280720710754,-0.8619601130485535,-0.8751809000968933,-0.8634046316146851,-0.8536832332611084,-0.872198760509491,-0.8731643557548523,-0.8717162013053894,-0.7978585362434387,-0.799993634223938,2002-01-09
-0.8388381004333496,-0.8736368417739868,-0.8836585879325867,-0.8791475892066956,-0.8765531778335571,-0.8913130760192871,-0.8969826102256775,-0.8817570805549622,-0.8159923553466797,-0.8269588351249695,2002-01-10
-0.8505452275276184,-0.8653444051742554,-0.8745342493057251,-0.8893361687660217,-0.8888258337974548,-0.8807339668273926,-0.9028082489967346,-0.8884638547897339,-0.8408370614051819,-0.8625149726867676,2002-01-11
-0.8608450293540955,-0.8801353573799133,-0.8816273808479309,-0.9213680624961852,-0.9071524739265442,-0.8858295679092407,-0.9336172342300416,-0.9228201508522034,-0.8808355927467346,-0.8868227601051331,2002-01-12
-0.863639235496521,-0.8655827641487122,-0.8754271864891052,-0.914484977722168,-0.9118908643722534,-0.8618661761283875,-0.9140302538871764,-0.921383261680603,-0.879360020160675,-0.8786952495574951,2002-01-13
-0.8592982888221741,-0.8608914017677307,-0.8830812573432922,-0.9071571230888368,-0.9082523584365844,-0.8629305362701416,-0.9109943509101868,-0.8947094678878784,-0.8799582719802856,-0.8799592852592468,2002-01-14
-0.8653090000152588,-0.8545174598693848,-0.86113041639328,-0.8976917862892151,-0.9092549085617064,-0.8522930741310121,-0.8890921473503113,-0.8941956162452698,-0.8727365732192993,-0.8819841742515564,2002-01-15
-0.8342846035957336,-0.8566408753395081,-0.8652470111846924,-0.8659242987632751,-0.8706818222999573,-0.858677864074707,-0.8892926573753357,-0.8625581860542297,-0.8502202033996582,-0.8551686406135559,2002-01-16
-0.8126327395439148,-0.8664937019348145,-0.8744480609893799,-0.8703731894493103,-0.8468896746635437,-0.8701931238174438,-0.8902609348297119,-0.8576712012290955,-0.8340539336204529,-0.8382849693298341,2002-01-17
-0.8034221529960632,-0.8690236210823059,-0.8640543818473816,-0.8580368161201477,-0.844460129737854,-0.8722844123840332,-0.8779020905494691,-0.8661390542984009,-0.8236485719680786,-0.8339639902114868,2002-01-18
-0.7957993745803833,-0.8744378089904785,-0.8701870441436768,-0.8512367606163025,-0.8447242379188538,-0.8819416165351868,-0.8860893249511719,-0.8545894622802734,-0.8306172490119934,-0.8411768674850464,2002-01-19
-0.7964257001876831,-0.8600319027900696,-0.8536133766174316,-0.8483058214187622,-0.8453007936477661,-0.8636106848716736,-0.8691129088401794,-0.8436723351478577,-0.8316709995269775,-0.8448445796966553,2002-01-20
-0.803715169429779,-0.8473672270774841,-0.8493072986602783,-0.8509868383407593,-0.8500116467475891,-0.8522548675537109,-0.8727898597717285,-0.8532726168632507,-0.8473679423332214,-0.8552957773208618,2002-01-21
-0.8378425836563109,-0.8544850945472717,-0.8545993566513062,-0.8706635236740112,-0.8843725919723511,-0.8636231422424316,-0.8837319016456604,-0.8868696689605713,-0.8843834400177002,-0.8872420787811279,2002-01-22
-0.8791494965553284,-0.8395360112190247,-0.8653894662857056,-0.9198990464210509,-0.9159977436065674,-0.8451530337333679,-0.8994320631027222,-0.9086685776710509,-0.9204033017158508,-0.9027265906333924,2002-01-23
-0.9017192721366882,-0.83469158411026,-0.8463779091835022,-0.8942077755928041,-0.9296071529388428,-0.8376173973083496,-0.8714542388916016,-0.9071797132492064,-0.9151564240455629,-0.9054483771324158,2002-01-24
-0.8766024112701416,-0.827933669090271,-0.8551304936408997,-0.9059172868728638,-0.9039994478225708,-0.8314307332038879,-0.8799184560775757,-0.8945554494857788,-0.8956629633903503,-0.8744515776634216,2002-01-25
-0.8552069664001465,-0.8435183167457581,-0.8638392686843872,-0.8775289058685303,-0.8905979990959167,-0.8482920527458191,-0.8683909177780151,-0.8977473378181458,-0.8684885501861572,-0.8512191772460938,2002-01-26
-0.8363316655158997,-0.8515979051589966,-0.8795573115348816,-0.8653498291969299,-0.8750376105308533,-0.8546681404113771,-0.8790284395217896,-0.8697329163551331,-0.8304417729377747,-0.8256178498268127,2002-01-27
-0.832446813583374,-0.8552504181861877,-0.8687605857849121,-0.8569148182868958,-0.8680410981178284,-0.8620573878288269,-0.8622789978981018,-0.8585699796676636,-0.8127960562705994,-0.8393696546554565,2002-01-28
-0.8358426690101624,-0.8566058874130249,-0.8684535622596741,-0.8588510751724243,-0.86649489402771,-0.8642668128013611,-0.8717624545097351,-0.8614385724067688,-0.8311431407928467,-0.8724228739738464,2002-01-29
-0.8354821205139159,-0.8451047539710999,-0.8578636646270752,-0.8681654930114746,-0.8620678782463074,-0.8461766839027405,-0.8639787435531616,-0.8687735199928284,-0.8499634265899658,-0.878149688243866,2002-01-30
-0.8199695944786072,-0.8380522131919861,-0.8495633602142334,-0.8531076908111572,-0.8476554751396179,-0.8354186415672302,-0.8572826385498047,-0.8603861927986145,-0.8472672700881958,-0.8503088951110841,2002-01-31
-0.8157485723495483,-0.8385890126228333,-0.8482630252838135,-0.8547716736793518,-0.8491951823234558,-0.8377413153648376,-0.8573240637779236,-0.8608521223068237,-0.8396860957145691,-0.8354613184928894,2002-02-01
-0.8121815323829651,-0.8409851789474487,-0.8448694944381714,-0.8453857898712158,-0.8501494526863098,-0.84031081199646,-0.8562288284301758,-0.8535183072090149,-0.8315562009811401,-0.8324689865112305,2002-02-02
-0.8092654943466187,-0.8368290662765503,-0.8378068208694458,-0.8363497853279114,-0.8397253751754761,-0.8352795839309692,-0.8476581573486328,-0.8406021595001221,-0.816950261592865,-0.8207163214683533,2002-02-03
-0.8034956455230713,-0.8323641419410706,-0.8303498625755309,-0.8198859691619873,-0.8255972266197205,-0.8327640891075134,-0.8369436264038086,-0.8283673524856567,-0.8054008483886719,-0.8133391737937927,2002-02-04
-0.7874454855918884,-0.8219189643859863,-0.8195484280586243,-0.8014435172080994,-0.8063250780105591,-0.8257138133049011,-0.8214589357376099,-0.8092599511146545,-0.7909396290779114,-0.8045176267623901,2002-02-05
-0.7870954871177673,-0.8197703957557678,-0.8250663876533508,-0.8037122488021851,-0.7967936992645264,-0.8249546885490417,-0.8196130394935608,-0.8085234761238098,-0.7820071578025818,-0.7928221225738525,2002-02-06
-0.7993069887161255,-0.8407295942306519,-0.8384326696395874,-0.820285439491272,-0.818638026714325,-0.8471885323524475,-0.8453639149665833,-0.8360337615013123,-0.7946708798408508,-0.8032089471817017,2002-02-07
-0.8150508403778076,-0.8509316444396973,-0.853628396987915,-0.8406389951705933,-0.8329582810401917,-0.8570667505264282,-0.8528193831443787,-0.8411514759063721,-0.7930997610092163,-0.8052875995635986,2002-02-08
-0.8391696810722351,-0.8443747758865356,-0.8530980944633484,-0.8459584712982178,-0.8510628938674927,-0.8504922986030579,-0.8536669611930847,-0.8461544513702393,-0.7933533787727356,-0.8135592937469482,2002-02-09
-0.8585703372955322,-0.8495075702667236,-0.8571218252182007,-0.853632390499115,-0.8638061881065369,-0.857992947101593,-0.860386312007904,-0.8536473512649536,-0.807785153388977,-0.8311689496040344,2002-02-10
-0.8771679997444153,-0.8460115790367126,-0.8618344068527222,-0.8675719499588013,-0.8728640675544739,-0.8519466519355774,-0.8655497431755066,-0.8620119690895081,-0.8218361139297485,-0.8414890170097351,2002-02-11
-0.8736137747764587,-0.8453837633132935,-0.8656971454620361,-0.8644386529922485,-0.8628743886947632,-0.8467653393745422,-0.8580731153488159,-0.8563869595527649,-0.8123831152915955,-0.8236960768699646,2002-02-12
-0.8718046545982361,-0.8664460182189941,-0.8898298144340515,-0.8797802329063416,-0.8688874840736389,-0.8613033890724182,-0.8798151016235352,-0.8751563429832458,-0.8111638426780701,-0.8129655718803406,2002-02-13
-0.8758034110069275,-0.8911900520324707,-0.9187952280044556,-0.90213143825531,-0.8884658813476562,-0.8874502778053284,-0.9021739959716796,-0.8914073705673218,-0.8210826516151428,-0.8231086730957031,2002-02-14
-0.8733784556388855,-0.9011027812957764,-0.9030373692512512,-0.893254816532135,-0.8901669979095459,-0.89925616979599,-0.9005956053733826,-0.8882561922073364,-0.8228294849395752,-0.8258162140846252,2002-02-15
-0.8650608658790588,-0.9003956913948059,-0.9205714464187622,-0.9042465090751648,-0.8896406888961792,-0.8952494263648987,-0.9141610860824584,-0.8934891223907471,-0.8462918996810913,-0.8546124100685121,2002-02-16
-0.8635984659194946,-0.9083534479141236,-0.9205422401428224,-0.9206244349479676,-0.90297931432724,-0.9008121490478516,-0.9196600317955016,-0.9158488512039183,-0.8766441941261292,-0.8767426609992981,2002-02-17
-0.8847686052322388,-0.926491677761078,-0.9309565424919128,-0.924014925956726,-0.9236434102058412,-0.9235602617263794,-0.9349238872528076,-0.9255510568618774,-0.9021795392036438,-0.9054867029190063,2002-02-18
-0.8949205279350281,-0.9356247782707214,-0.9332053065299988,-0.937125325202942,-0.926031768321991,-0.9304549098014832,-0.9368301033973694,-0.9307796359062196,-0.9040150046348572,-0.9155455231666564,2002-02-19
-0.9016795754432678,-0.9449782967567444,-0.9543801546096802,-0.949909210205078,-0.934226393699646,-0.9438303709030152,-0.9586164951324464,-0.9500479102134703,-0.9097727537155152,-0.927705943584442,2002-02-20
-0.9261458516120912,-0.9483240246772766,-0.9658477306365968,-0.9790232181549072,-0.9582254886627196,-0.9491284489631652,-0.97584068775177,-0.9748413562774658,-0.9313949942588806,-0.9504032135009766,2002-02-21
-0.9602433443069458,-0.9439697265625,-0.9726237058639526,-0.9822363853454591,-0.98529714345932,-0.9419868588447572,-0.9681978225708008,-0.9753418564796448,-0.9412767291069032,-0.9574579000473022,2002-02-22
-0.974905788898468,-0.9491031169891356,-0.9764752388000488,-0.9931552410125732,-0.9987831711769104,-0.947060227394104,-0.9847999811172484,-0.9840027689933776,-0.9611563682556152,-0.9785683155059814,2002-02-23
-0.9958614706993104,-0.9569011330604552,-0.975864827632904,-0.9904364347457886,-1.000710129737854,-0.9588499069213868,-0.997649312019348,-1.0002220869064329,-0.9958768486976624,-1.0098916292190552,2002-02-24
-1.0085220336914062,-0.9683382511138916,-1.0038647651672363,-1.0369962453842163,-1.0106090307235718,-0.9654111862182616,-1.0178422927856443,-1.0214900970458984,-1.0172660350799558,-1.0099996328353882,2002-02-25
-0.9951809644699096,-0.9703499078750609,-1.0158861875534058,-1.0053668022155762,-0.9973289966583252,-0.9622353315353394,-1.0134915113449097,-1.0178717374801636,-0.9965281486511229,-0.9825483560562134,2002-02-26
-0.98341965675354,-0.965930998325348,-0.9909703135490416,-0.99680757522583,-0.9947324395179749,-0.964101254940033,-1.0018779039382937,-1.0013289451599119,-0.9842023849487304,-0.9782856106758118,2002-02-27
-0.9741262793540956,-0.9585574865341188,-0.9878399968147278,-1.0030573606491089,-0.9885426759719848,-0.9561533927917479,-1.0010526180267334,-0.9886845350265504,-0.9830626249313354,-0.97401762008667,2002-02-28
-0.9598469138145448,-0.9495608806610109,-0.9632880687713624,-0.9791235327720642,-0.9799430370330809,-0.9454522132873536,-0.9853739142417908,-0.9894336462020874,-0.9790000915527344,-0.977187156677246,2002-03-01
-0.9522870779037476,-0.9540064930915833,-0.96674245595932,-0.9870029091835022,-0.970169186592102,-0.9528480172157288,-0.9931181073188782,-0.9859922528266908,-0.979572892189026,-0.9755868315696716,2002-03-02
-0.9495028257369996,-0.9500470161437988,-0.9717421531677246,-0.9879543781280518,-0.9672147035598756,-0.9445974230766296,-0.987809419631958,-0.9917020201683044,-0.9759978652000428,-0.973280429840088,2002-03-03
-0.9497597813606262,-0.9516737461090088,-0.9760032296180724,-0.9939654469490052,-0.9740616679191588,-0.9419373273849488,-0.9899412393569946,-0.9954750537872314,-0.9798805713653564,-0.9802974462509156,2002-03-04
-0.9411491751670836,-0.96298748254776,-0.9721472859382628,-0.9802404642105104,-0.9712821841239928,-0.9577739238739014,-0.9912949800491332,-0.9868361353874208,-0.9824082851409912,-0.9780539870262146,2002-03-05
-0.9300559163093568,-0.9681503772735596,-0.9701603055000304,-0.9724072217941284,-0.9648853540420532,-0.9636624455451964,-0.9903783798217772,-0.9833247065544128,-0.9694567918777466,-0.9664060473442078,2002-03-06
-0.9207359552383424,-0.9650391936302184,-0.9716721773147584,-0.966991662979126,-0.9549221396446228,-0.9623745679855348,-0.9836246967315674,-0.9734659790992736,-0.9436293840408324,-0.9471231698989868,2002-03-07
-0.9327377676963806,-0.965922713279724,-0.9757421016693116,-0.969995617866516,-0.9644153714179992,-0.9671301841735841,-0.985240876674652,-0.980584681034088,-0.9451611638069152,-0.9576371312141418,2002-03-08
-0.9344796538352966,-0.9595080614089966,-0.963886857032776,-0.9734873771667479,-0.9712918400764464,-0.9604030251502992,-0.9854024052619934,-0.9821997880935668,-0.9532164931297302,-0.964708924293518,2002-03-09
-0.9388214945793152,-0.9370136260986328,-0.9453957080841064,-0.9527637362480164,-0.964381217956543,-0.9332642555236816,-0.9647843241691588,-0.9659914970397948,-0.9453027844429016,-0.9527782797813416,2002-03-10
-0.937687337398529,-0.9291740655899048,-0.9419583082199096,-0.9588679671287536,-0.9656774997711182,-0.9300962090492249,-0.964684784412384,-0.9696566462516784,-0.9459762573242188,-0.9479372501373292,2002-03-11
-0.9358718991279602,-0.9130027294158936,-0.9308104515075684,-0.9485145211219788,-0.9585235714912416,-0.9101073145866394,-0.9473390579223632,-0.9526633620262146,-0.9225629568099976,-0.9231471419334412,2002-03-12
-0.9211121797561646,-0.9030578136444092,-0.9239220023155212,-0.9314120411872864,-0.9404993057250975,-0.8995842337608337,-0.9330176115036012,-0.9393616914749146,-0.901256501674652,-0.90364408493042,2002-03-13
-0.9245690703392028,-0.9098641276359558,-0.93192458152771,-0.9354217052459716,-0.9431487321853638,-0.909557282924652,-0.9378639459609984,-0.9421162009239196,-0.9070886373519896,-0.915812373161316,2002-03-14
-0.9098892807960509,-0.9161846041679382,-0.938981592655182,-0.9357081055641174,-0.9326204657554626,-0.9128368496894836,-0.9421088099479676,-0.9353715777397156,-0.9120514988899232,-0.9181671142578124,2002-03-15
