"","Burglary","Earthquake","Alarm","JohnCalls","MaryCalls"
"1","False","False","False","False","False"
"2","False","False","False","True","False"
"3","False","False","False","False","False"
"4","False","True","True","True","False"
"5","False","False","False","False","False"
"6","False","False","False","False","False"
"7","False","False","False","False","False"
"8","False","False","False","False","False"
"9","False","False","False","False","False"
"10","False","False","False","False","False"
"11","False","False","False","False","False"
"12","False","False","False","False","False"
"13","True","False","True","True","False"
"14","False","False","False","False","False"
"15","False","False","False","False","False"
"16","False","False","False","False","False"
"17","False","False","False","False","False"
"18","False","False","False","False","False"
"19","False","False","False","False","False"
"20","False","False","False","False","False"
"21","False","False","False","False","False"
"22","False","False","False","False","False"
"23","False","False","False","False","False"
"24","False","False","False","False","False"
"25","False","False","False","False","False"
"26","False","False","False","False","False"
"27","False","False","False","False","False"
"28","False","False","False","False","False"
"29","False","False","False","False","False"
"30","False","False","False","False","False"
"31","False","False","False","False","False"
"32","False","False","False","False","False"
"33","False","False","False","False","False"
"34","False","False","False","False","False"
"35","False","False","False","False","False"
"36","True","False","True","True","False"
"37","False","False","False","True","False"
"38","False","False","False","True","False"
"39","False","False","False","False","False"
"40","False","False","False","False","False"
"41","False","False","False","False","False"
"42","False","False","False","False","False"
"43","False","False","False","False","False"
"44","False","False","False","False","False"
"45","False","False","False","False","False"
"46","False","False","False","False","False"
"47","False","False","False","False","True"
"48","False","False","False","False","False"
"49","False","False","False","False","False"
"50","False","False","False","False","False"
"51","False","False","False","False","False"
"52","False","False","False","False","True"
"53","False","False","False","False","False"
"54","False","False","False","True","False"
"55","False","False","False","False","False"
"56","False","False","False","False","False"
"57","False","False","False","False","False"
"58","False","False","False","False","False"
"59","False","False","False","False","False"
"60","False","False","False","False","False"
"61","False","False","False","False","False"
"62","False","False","False","False","False"
"63","False","False","False","False","False"
"64","False","True","False","False","False"
"65","False","False","False","False","False"
"66","False","False","False","False","False"
"67","False","True","False","False","False"
"68","False","False","False","False","False"
"69","False","False","False","False","False"
"70","False","False","False","False","False"
"71","False","False","False","False","False"
"72","False","False","False","True","False"
"73","False","False","False","False","False"
"74","False","False","False","False","False"
"75","False","False","False","False","False"
"76","False","False","False","False","False"
"77","False","False","False","False","False"
"78","False","False","False","False","False"
"79","False","True","False","True","False"
"80","False","False","False","False","False"
"81","False","False","False","False","False"
"82","False","False","False","False","False"
"83","False","False","False","False","False"
"84","False","False","False","False","False"
"85","False","False","False","False","False"
"86","False","False","False","False","False"
"87","False","False","False","False","False"
"88","False","False","False","False","False"
"89","False","False","False","False","False"
"90","False","False","False","False","False"
"91","False","False","False","False","False"
"92","False","False","False","False","False"
"93","False","False","False","False","False"
"94","False","False","False","False","False"
"95","False","False","False","False","False"
"96","False","False","False","False","False"
"97","False","False","False","False","False"
"98","False","False","False","False","False"
"99","False","False","False","False","False"
"100","False","False","False","False","False"
"101","False","False","False","False","False"
"102","False","False","False","False","False"
"103","False","False","False","False","False"
"104","False","False","False","False","False"
"105","False","False","False","False","False"
"106","False","False","False","False","False"
"107","False","False","False","False","False"
"108","False","False","False","False","False"
"109","False","False","False","False","False"
"110","False","False","False","False","False"
"111","False","False","False","False","False"
"112","False","False","False","False","False"
"113","False","False","False","False","False"
"114","False","False","False","False","False"
"115","False","False","False","False","False"
"116","False","False","False","False","False"
"117","False","False","False","False","False"
"118","False","False","False","False","False"
"119","False","False","False","False","False"
"120","False","False","False","False","False"
"121","False","False","False","False","False"
"122","False","False","False","False","False"
"123","False","False","False","False","False"
"124","False","False","False","False","False"
"125","False","False","False","False","False"
"126","False","False","False","True","False"
"127","False","False","False","False","False"
"128","False","False","False","False","False"
"129","False","False","False","False","False"
"130","False","False","False","False","False"
"131","False","False","False","False","False"
"132","False","False","False","False","False"
"133","False","False","False","False","False"
"134","False","False","False","False","False"
"135","False","False","False","False","False"
"136","False","False","False","True","False"
"137","True","False","True","True","True"
"138","True","False","True","True","True"
"139","False","False","False","False","False"
"140","False","False","False","False","False"
"141","False","False","False","False","False"
"142","False","False","False","False","False"
"143","False","False","False","False","False"
"144","False","False","False","False","False"
"145","False","False","False","False","False"
"146","False","False","False","False","False"
"147","False","False","False","False","False"
"148","False","False","False","False","False"
"149","False","True","False","False","False"
"150","False","False","False","False","False"
"151","False","False","False","False","False"
"152","False","False","False","False","False"
"153","False","False","False","False","False"
"154","False","False","False","False","False"
"155","False","False","False","False","False"
"156","False","False","False","False","False"
"157","False","False","False","False","False"
"158","False","False","False","False","False"
"159","False","False","False","False","False"
"160","False","False","False","False","False"
"161","False","False","False","False","True"
"162","False","False","False","False","False"
"163","False","False","False","False","False"
"164","False","True","False","False","False"
"165","False","False","False","False","False"
"166","False","False","False","False","False"
"167","False","False","False","False","False"
"168","False","False","False","False","False"
"169","False","False","False","False","False"
"170","False","False","False","False","False"
"171","False","False","False","False","False"
"172","False","False","False","False","False"
"173","False","False","False","False","False"
"174","False","False","False","False","False"
"175","False","False","False","False","False"
"176","False","False","False","False","False"
"177","False","False","False","False","False"
"178","False","False","False","False","False"
"179","False","False","False","False","False"
"180","False","False","False","False","False"
"181","False","False","False","False","False"
"182","False","False","False","False","False"
"183","False","False","False","False","False"
"184","False","False","False","False","False"
"185","False","False","False","False","False"
"186","False","False","False","False","False"
"187","False","False","False","False","False"
"188","False","False","False","False","False"
"189","False","False","False","False","False"
"190","False","False","False","False","False"
"191","False","False","False","False","True"
"192","False","False","False","False","False"
"193","False","False","False","False","False"
"194","False","False","False","False","False"
"195","False","False","False","False","False"
"196","False","False","False","False","False"
"197","False","False","False","True","False"
"198","False","False","False","False","False"
"199","False","False","False","False","False"
"200","False","False","False","False","False"
"201","False","False","False","False","False"
"202","False","False","False","False","False"
"203","False","False","False","False","False"
"204","False","False","False","False","False"
"205","False","False","False","True","False"
"206","False","False","False","False","False"
"207","False","False","False","False","False"
"208","False","False","False","False","False"
"209","False","False","False","False","False"
"210","False","False","False","False","False"
"211","False","False","False","False","False"
"212","False","False","False","False","False"
"213","False","False","False","False","False"
"214","False","False","False","False","False"
"215","False","False","False","False","False"
"216","False","False","False","False","False"
"217","False","False","False","False","False"
"218","False","False","False","False","False"
"219","False","False","False","False","False"
"220","False","False","False","False","False"
"221","False","False","False","False","False"
"222","False","False","False","False","False"
"223","False","False","False","False","False"
"224","False","False","False","False","False"
"225","False","False","False","False","False"
"226","False","False","False","False","False"
"227","False","False","False","False","False"
"228","False","False","False","False","False"
"229","False","False","False","False","False"
"230","False","False","False","False","False"
"231","False","False","False","False","False"
"232","False","False","False","False","True"
"233","False","False","False","False","False"
"234","False","False","False","False","False"
"235","False","False","False","False","False"
"236","False","False","False","False","False"
"237","False","False","False","False","False"
"238","False","False","False","False","False"
"239","False","False","False","False","False"
"240","False","False","False","False","False"
"241","False","False","False","False","False"
"242","False","False","False","False","False"
"243","False","False","False","False","False"
"244","False","False","False","False","False"
"245","False","False","False","False","False"
"246","False","False","False","False","False"
"247","False","False","False","True","False"
"248","False","False","False","False","False"
"249","False","False","False","False","False"
"250","False","False","False","False","False"
"251","False","False","False","False","False"
"252","False","False","False","False","False"
"253","False","False","False","False","False"
"254","False","False","False","False","False"
"255","False","False","False","False","False"
"256","False","False","False","False","False"
"257","False","False","False","False","False"
"258","False","True","False","False","False"
"259","False","False","False","False","False"
"260","False","False","False","False","False"
"261","False","False","False","False","False"
"262","False","False","False","False","False"
"263","False","False","False","False","False"
"264","False","False","False","False","False"
"265","False","False","False","False","False"
"266","False","False","False","False","False"
"267","False","False","False","False","False"
"268","False","False","False","False","False"
"269","False","False","False","False","False"
"270","False","False","False","False","False"
"271","False","False","False","False","False"
"272","False","False","False","False","False"
"273","False","False","False","False","False"
"274","False","False","False","False","False"
"275","False","False","False","False","False"
"276","False","False","False","False","False"
"277","False","False","False","True","False"
"278","False","False","False","False","False"
"279","False","False","False","True","False"
"280","False","False","False","False","False"
"281","False","False","False","False","False"
"282","False","False","False","False","False"
"283","False","False","False","False","False"
"284","False","False","False","False","False"
"285","False","False","False","False","False"
"286","False","False","False","False","False"
"287","False","False","False","False","False"
"288","False","False","False","False","False"
"289","False","False","False","False","False"
"290","False","False","False","False","False"
"291","False","False","False","True","False"
"292","False","False","False","False","False"
"293","False","False","False","False","False"
"294","False","False","False","False","False"
"295","False","False","False","False","False"
"296","False","False","False","False","False"
"297","False","False","False","False","False"
"298","False","False","False","False","False"
"299","False","False","False","False","False"
"300","False","False","False","False","False"
"301","False","False","False","False","False"
"302","False","False","False","False","False"
"303","False","False","False","False","False"
"304","False","False","False","False","False"
"305","False","False","False","False","False"
"306","False","False","False","False","False"
"307","False","False","False","False","False"
"308","False","False","False","False","False"
"309","False","False","False","False","False"
"310","False","False","False","True","False"
"311","False","False","False","False","False"
"312","False","False","False","False","False"
"313","False","False","False","False","False"
"314","False","False","False","False","False"
"315","False","False","False","False","False"
"316","False","False","False","False","False"
"317","False","False","False","False","False"
"318","False","False","False","False","False"
"319","False","False","False","False","False"
"320","False","False","False","False","False"
"321","False","False","False","False","False"
"322","False","False","False","False","False"
"323","False","False","False","True","False"
"324","False","False","False","False","False"
"325","False","False","False","False","False"
"326","False","False","False","False","False"
"327","False","False","False","False","False"
"328","False","False","False","False","False"
"329","False","False","False","False","False"
"330","False","False","False","False","False"
"331","False","False","False","False","False"
"332","False","False","False","False","False"
"333","False","False","False","False","False"
"334","False","False","False","False","False"
"335","False","False","False","False","False"
"336","False","False","False","False","False"
"337","False","False","False","False","False"
"338","False","False","False","False","False"
"339","False","False","False","False","False"
"340","False","False","False","False","False"
"341","False","False","False","False","False"
"342","False","False","False","False","False"
"343","False","False","False","False","False"
"344","False","False","False","False","False"
"345","False","False","False","False","False"
"346","False","False","False","True","False"
"347","False","False","False","False","False"
"348","False","False","False","False","False"
"349","False","False","False","False","False"
"350","False","False","False","False","False"
"351","False","False","False","False","False"
"352","False","False","False","False","False"
"353","False","False","False","False","False"
"354","False","False","False","False","False"
"355","False","False","False","False","False"
"356","False","False","False","False","False"
"357","False","False","False","False","False"
"358","True","False","True","True","True"
"359","False","False","False","False","False"
"360","True","False","True","True","False"
"361","False","False","False","False","False"
"362","False","False","False","False","False"
"363","False","False","False","False","False"
"364","False","False","False","False","False"
"365","False","False","False","False","False"
"366","False","False","False","False","False"
"367","False","False","False","False","False"
"368","False","False","False","False","False"
"369","False","False","False","False","False"
"370","False","False","False","False","False"
"371","False","False","False","False","False"
"372","False","False","False","False","False"
"373","False","False","False","False","False"
"374","False","False","False","True","False"
"375","False","False","False","False","False"
"376","False","False","False","True","False"
"377","False","False","False","False","False"
"378","False","False","False","False","False"
"379","False","False","False","False","False"
"380","False","False","False","False","False"
"381","False","False","False","False","False"
"382","False","False","False","False","False"
"383","False","False","False","False","False"
"384","False","False","False","False","False"
"385","False","False","False","False","False"
"386","False","False","False","False","False"
"387","False","False","False","False","False"
"388","False","False","False","False","False"
"389","False","False","False","False","False"
"390","False","False","False","True","False"
"391","False","False","False","False","False"
"392","False","False","False","False","False"
"393","False","True","False","False","False"
"394","False","False","False","False","False"
"395","False","False","False","False","False"
"396","False","False","False","True","False"
"397","False","False","False","False","False"
"398","False","False","False","False","False"
"399","False","False","False","False","False"
"400","False","False","False","False","False"
"401","False","False","False","False","False"
"402","False","False","False","False","False"
"403","False","False","False","False","False"
"404","False","False","False","False","False"
"405","False","False","False","False","False"
"406","False","False","False","False","False"
"407","False","False","False","False","False"
"408","False","False","False","False","False"
"409","False","False","False","False","False"
"410","False","False","False","False","False"
"411","False","False","False","False","False"
"412","False","False","False","False","False"
"413","False","False","False","False","False"
"414","False","False","False","False","False"
"415","False","False","False","False","False"
"416","False","False","False","False","False"
"417","False","False","False","False","False"
"418","False","False","False","False","False"
"419","False","False","False","False","False"
"420","False","False","False","False","False"
"421","False","False","False","False","False"
"422","False","False","False","False","False"
"423","False","False","False","False","False"
"424","False","False","False","False","False"
"425","False","False","False","False","False"
"426","False","False","False","False","False"
"427","False","False","False","False","False"
"428","False","False","False","False","False"
"429","False","False","False","False","False"
"430","False","False","False","True","False"
"431","False","False","False","False","False"
"432","False","False","False","False","False"
"433","False","False","False","False","False"
"434","False","False","False","False","False"
"435","False","False","False","False","False"
"436","False","True","False","False","False"
"437","False","False","False","False","False"
"438","False","False","False","False","False"
"439","False","False","False","False","False"
"440","False","False","False","False","False"
"441","False","False","False","True","False"
"442","False","False","False","False","False"
"443","False","False","False","False","False"
"444","False","False","False","False","False"
"445","False","False","False","False","False"
"446","False","False","False","False","False"
"447","False","False","False","False","False"
"448","False","False","False","False","False"
"449","False","False","False","False","False"
"450","False","False","False","False","False"
"451","False","False","False","False","False"
"452","False","False","False","False","False"
"453","False","False","False","False","False"
"454","False","False","False","False","False"
"455","False","False","False","False","False"
"456","False","False","False","False","False"
"457","False","False","False","False","False"
"458","False","False","False","False","False"
"459","False","False","False","False","False"
"460","False","False","False","False","False"
"461","False","False","False","True","False"
"462","False","False","False","False","False"
"463","False","False","False","False","False"
"464","False","False","False","False","False"
"465","False","False","False","False","False"
"466","False","False","False","False","False"
"467","False","False","False","False","False"
"468","False","False","False","False","False"
"469","False","False","False","False","False"
"470","False","False","False","False","False"
"471","False","True","False","False","False"
"472","False","False","False","False","False"
"473","False","False","False","True","False"
"474","False","False","False","False","False"
"475","False","False","False","False","False"
"476","False","False","False","False","False"
"477","False","False","False","False","False"
"478","False","False","False","False","False"
"479","False","False","False","False","False"
"480","False","False","False","False","False"
"481","False","False","False","False","False"
"482","False","False","False","False","False"
"483","False","False","False","False","False"
"484","False","False","False","False","False"
"485","False","False","False","False","False"
"486","False","True","False","False","False"
"487","False","False","False","False","False"
"488","False","False","False","False","False"
"489","False","False","False","False","False"
"490","False","False","False","False","False"
"491","False","False","False","False","False"
"492","False","False","False","False","False"
"493","False","False","False","False","False"
"494","False","False","False","False","False"
"495","False","False","False","False","False"
"496","False","False","False","False","False"
"497","False","False","False","False","False"
"498","False","False","False","False","False"
"499","False","False","False","False","False"
"500","False","False","False","False","False"
